OBJEK,ATNAM,ATWRT
100000000000000003_BT395376,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000003_BT395376,USAGE_DECISION,QUARANTINE
100000000000000003_BT395376,BATCH_USAGE_IN_ORDERS,YES
100000000000000003_BT395376,PRODUCTION_DATE,2025-10-06
100000000000000004_BT710122,LOT_SUITABLE_COUNTRY,"AT,AU,JP,MY,PT,SG"
100000000000000004_BT710122,LOT_NOT_SUITABLE_COUNTRY,"DK,ZA"
100000000000000004_BT710122,LOT_STATUS,BLOCKED
100000000000000004_BT710122,INCYTE_BS_BATCH,BS-166978
100000000000000004_BT710122,INCYTE_DP_BATCH,DP-480184
100000000000000004_BT710122,INCYTE_API_BATCH,API-514627
100000000000000004_BT710122,INCYTE_COMMON_BLEND_BATCH,CB-048281
100000000000000004_BT710122,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000004_BT710122,PRODUCTION_VERSION,PV-11
100000000000000004_BT710122,PROD_VERSION_DESCRIPTION,Production Version 11
100000000000000004_BT710122,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000004_BT710122,USAGE_DECISION,RELEASED
100000000000000004_BT710122,BATCH_USAGE_IN_ORDERS,YES
100000000000000004_BT710122,PRODUCTION_DATE,2025-06-27
100000000000000004_BT627048,LOT_SUITABLE_COUNTRY,"AT,BR,IN,JP,MX,NO,ZA"
100000000000000004_BT627048,LOT_NOT_SUITABLE_COUNTRY,"CA,KR"
100000000000000004_BT627048,LOT_STATUS,EXPIRED
100000000000000004_BT627048,INCYTE_BS_BATCH,BS-489325
100000000000000004_BT627048,INCYTE_DP_BATCH,DP-288095
100000000000000004_BT627048,INCYTE_API_BATCH,API-701543
100000000000000004_BT627048,INCYTE_COMMON_BLEND_BATCH,CB-039117
100000000000000004_BT627048,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000004_BT627048,PRODUCTION_VERSION,PV-13
100000000000000004_BT627048,PROD_VERSION_DESCRIPTION,Production Version 1
100000000000000004_BT627048,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000004_BT627048,USAGE_DECISION,RELEASED
100000000000000004_BT627048,BATCH_USAGE_IN_ORDERS,YES
100000000000000004_BT627048,PRODUCTION_DATE,2025-05-25
100000000000000005_BT154303,LOT_SUITABLE_COUNTRY,"BR,CN,FR,MX,PH"
100000000000000005_BT154303,LOT_NOT_SUITABLE_COUNTRY,"IN,NO,PL"
100000000000000005_BT154303,LOT_STATUS,ACTIVE
100000000000000005_BT154303,INCYTE_BS_BATCH,BS-182278
100000000000000005_BT154303,INCYTE_DP_BATCH,DP-248963
100000000000000005_BT154303,INCYTE_API_BATCH,API-834657
100000000000000005_BT154303,INCYTE_COMMON_BLEND_BATCH,CB-871331
100000000000000005_BT154303,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000005_BT154303,PRODUCTION_VERSION,PV-15
100000000000000005_BT154303,PROD_VERSION_DESCRIPTION,Production Version 11
100000000000000005_BT154303,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000005_BT154303,USAGE_DECISION,RELEASED
100000000000000005_BT154303,BATCH_USAGE_IN_ORDERS,YES
100000000000000005_BT154303,PRODUCTION_DATE,2025-09-29
100000000000000005_BT346578,LOT_SUITABLE_COUNTRY,"BE,BR,NL,NO"
100000000000000005_BT346578,LOT_NOT_SUITABLE_COUNTRY,"CN,JP,US,ZA"
100000000000000005_BT346578,LOT_STATUS,IN_PROCESS
100000000000000005_BT346578,INCYTE_BS_BATCH,BS-509839
100000000000000005_BT346578,INCYTE_DP_BATCH,DP-301031
100000000000000005_BT346578,INCYTE_API_BATCH,API-051834
100000000000000005_BT346578,INCYTE_COMMON_BLEND_BATCH,CB-738299
100000000000000005_BT346578,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000005_BT346578,PRODUCTION_VERSION,PV-3
100000000000000005_BT346578,PROD_VERSION_DESCRIPTION,Production Version 9
100000000000000005_BT346578,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000005_BT346578,USAGE_DECISION,RELEASED
100000000000000005_BT346578,BATCH_USAGE_IN_ORDERS,NO
100000000000000005_BT346578,PRODUCTION_DATE,2024-06-19
100000000000000005_BT183473,LOT_SUITABLE_COUNTRY,"AT,ES,JP"
100000000000000005_BT183473,LOT_NOT_SUITABLE_COUNTRY,"CA,CN,PT,TH"
100000000000000005_BT183473,LOT_STATUS,ACTIVE
100000000000000005_BT183473,INCYTE_BS_BATCH,BS-737631
100000000000000005_BT183473,INCYTE_DP_BATCH,DP-165667
100000000000000005_BT183473,INCYTE_API_BATCH,API-010651
100000000000000005_BT183473,INCYTE_COMMON_BLEND_BATCH,CB-333872
100000000000000005_BT183473,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000005_BT183473,PRODUCTION_VERSION,PV-9
100000000000000005_BT183473,PROD_VERSION_DESCRIPTION,Production Version 14
100000000000000005_BT183473,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000005_BT183473,USAGE_DECISION,QUARANTINE
100000000000000005_BT183473,BATCH_USAGE_IN_ORDERS,NO
100000000000000005_BT183473,PRODUCTION_DATE,2024-09-23
100000000000000006_BT106513,LOT_SUITABLE_COUNTRY,"DK,NL,TH"
100000000000000006_BT106513,LOT_NOT_SUITABLE_COUNTRY,"AU,PT,SG"
100000000000000006_BT106513,LOT_STATUS,ACTIVE
100000000000000006_BT106513,INCYTE_BS_BATCH,BS-624731
100000000000000006_BT106513,INCYTE_DP_BATCH,DP-781080
100000000000000006_BT106513,INCYTE_API_BATCH,API-132677
100000000000000006_BT106513,INCYTE_COMMON_BLEND_BATCH,CB-360260
100000000000000006_BT106513,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000006_BT106513,PRODUCTION_VERSION,PV-7
100000000000000006_BT106513,PROD_VERSION_DESCRIPTION,Production Version 3
100000000000000006_BT106513,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000006_BT106513,USAGE_DECISION,RELEASED
100000000000000006_BT106513,BATCH_USAGE_IN_ORDERS,NO
100000000000000006_BT106513,PRODUCTION_DATE,2023-09-08
100000000000000006_BT267736,LOT_SUITABLE_COUNTRY,"AT,BR,IE,IT,JP,SE,TH,UK"
100000000000000006_BT267736,LOT_NOT_SUITABLE_COUNTRY,"CH,ZA"
100000000000000006_BT267736,LOT_STATUS,BLOCKED
100000000000000006_BT267736,INCYTE_BS_BATCH,BS-647468
100000000000000006_BT267736,INCYTE_DP_BATCH,DP-723430
100000000000000006_BT267736,INCYTE_API_BATCH,API-980500
100000000000000006_BT267736,INCYTE_COMMON_BLEND_BATCH,CB-978820
100000000000000006_BT267736,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000006_BT267736,PRODUCTION_VERSION,PV-9
100000000000000006_BT267736,PROD_VERSION_DESCRIPTION,Production Version 13
100000000000000006_BT267736,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000006_BT267736,USAGE_DECISION,QUARANTINE
100000000000000006_BT267736,BATCH_USAGE_IN_ORDERS,NO
100000000000000006_BT267736,PRODUCTION_DATE,2025-10-26
100000000000000007_BT050097,LOT_SUITABLE_COUNTRY,"AU,CA,CH,IN,IT,UK,US"
100000000000000007_BT050097,LOT_NOT_SUITABLE_COUNTRY,KR
100000000000000007_BT050097,LOT_STATUS,EXPIRED
100000000000000007_BT050097,INCYTE_BS_BATCH,BS-812191
100000000000000007_BT050097,INCYTE_DP_BATCH,DP-361939
100000000000000007_BT050097,INCYTE_API_BATCH,API-909169
100000000000000007_BT050097,INCYTE_COMMON_BLEND_BATCH,CB-985435
100000000000000007_BT050097,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000007_BT050097,PRODUCTION_VERSION,PV-2
100000000000000007_BT050097,PROD_VERSION_DESCRIPTION,Production Version 2
100000000000000007_BT050097,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000007_BT050097,USAGE_DECISION,REJECTED
100000000000000007_BT050097,BATCH_USAGE_IN_ORDERS,NO
100000000000000007_BT050097,PRODUCTION_DATE,2024-08-14
100000000000000007_BT091699,LOT_SUITABLE_COUNTRY,"CH,DK,ES,IE,JP,NL,TH"
100000000000000007_BT091699,LOT_NOT_SUITABLE_COUNTRY,"BE,DE,PT"
100000000000000007_BT091699,LOT_STATUS,IN_PROCESS
100000000000000007_BT091699,INCYTE_BS_BATCH,BS-346247
100000000000000007_BT091699,INCYTE_DP_BATCH,DP-510799
100000000000000007_BT091699,INCYTE_API_BATCH,API-118384
100000000000000007_BT091699,INCYTE_COMMON_BLEND_BATCH,CB-251354
100000000000000007_BT091699,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000007_BT091699,PRODUCTION_VERSION,PV-15
100000000000000007_BT091699,PROD_VERSION_DESCRIPTION,Production Version 9
100000000000000007_BT091699,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000007_BT091699,USAGE_DECISION,REJECTED
100000000000000007_BT091699,BATCH_USAGE_IN_ORDERS,NO
100000000000000007_BT091699,PRODUCTION_DATE,2024-09-05
100000000000000008_BT183842,LOT_SUITABLE_COUNTRY,"AT,AU,DK,IE,MX,SE,UK,ZA"
100000000000000008_BT183842,LOT_NOT_SUITABLE_COUNTRY,IT
100000000000000008_BT183842,LOT_STATUS,ACTIVE
100000000000000008_BT183842,INCYTE_BS_BATCH,BS-278498
100000000000000008_BT183842,INCYTE_DP_BATCH,DP-084124
100000000000000008_BT183842,INCYTE_API_BATCH,API-118244
100000000000000008_BT183842,INCYTE_COMMON_BLEND_BATCH,CB-935348
100000000000000008_BT183842,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000008_BT183842,PRODUCTION_VERSION,PV-6
100000000000000008_BT183842,PROD_VERSION_DESCRIPTION,Production Version 1
100000000000000008_BT183842,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000008_BT183842,USAGE_DECISION,RELEASED
100000000000000008_BT183842,BATCH_USAGE_IN_ORDERS,YES
100000000000000008_BT183842,PRODUCTION_DATE,2025-11-28
100000000000000008_BT118244,LOT_SUITABLE_COUNTRY,"AT,FI,FR,US"
100000000000000008_BT118244,LOT_NOT_SUITABLE_COUNTRY,MX
100000000000000008_BT118244,LOT_STATUS,ACTIVE
100000000000000008_BT118244,INCYTE_BS_BATCH,BS-740164
100000000000000008_BT118244,INCYTE_DP_BATCH,DP-005242
100000000000000008_BT118244,INCYTE_API_BATCH,API-786801
100000000000000008_BT118244,INCYTE_COMMON_BLEND_BATCH,CB-128059
100000000000000008_BT118244,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000008_BT118244,PRODUCTION_VERSION,PV-1
100000000000000008_BT118244,PROD_VERSION_DESCRIPTION,Production Version 14
100000000000000008_BT118244,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000008_BT118244,USAGE_DECISION,RELEASED
100000000000000008_BT118244,BATCH_USAGE_IN_ORDERS,YES
100000000000000008_BT118244,PRODUCTION_DATE,2024-12-04
100000000000000009_BT786801,LOT_SUITABLE_COUNTRY,"CH,CN,DK,ES,NL"
100000000000000009_BT786801,LOT_NOT_SUITABLE_COUNTRY,"FI,IN,JP,MX"
100000000000000009_BT786801,LOT_STATUS,ACTIVE
100000000000000009_BT786801,INCYTE_BS_BATCH,BS-826204
100000000000000009_BT786801,INCYTE_DP_BATCH,DP-505331
100000000000000009_BT786801,INCYTE_API_BATCH,API-586923
100000000000000009_BT786801,INCYTE_COMMON_BLEND_BATCH,CB-226025
100000000000000009_BT786801,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000009_BT786801,PRODUCTION_VERSION,PV-11
100000000000000009_BT786801,PROD_VERSION_DESCRIPTION,Production Version 7
100000000000000009_BT786801,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000009_BT786801,USAGE_DECISION,RELEASED
100000000000000009_BT786801,BATCH_USAGE_IN_ORDERS,YES
100000000000000009_BT786801,PRODUCTION_DATE,2023-05-04
100000000000000009_BT315869,LOT_SUITABLE_COUNTRY,"AT,CA,DE,DK,IT,MX,MY,PH"
100000000000000009_BT315869,LOT_NOT_SUITABLE_COUNTRY,NO
100000000000000009_BT315869,LOT_STATUS,ACTIVE
100000000000000009_BT315869,INCYTE_BS_BATCH,BS-634216
100000000000000009_BT315869,INCYTE_DP_BATCH,DP-073375
100000000000000009_BT315869,INCYTE_API_BATCH,API-433036
100000000000000009_BT315869,INCYTE_COMMON_BLEND_BATCH,CB-541458
100000000000000009_BT315869,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000009_BT315869,PRODUCTION_VERSION,PV-9
100000000000000009_BT315869,PROD_VERSION_DESCRIPTION,Production Version 8
100000000000000009_BT315869,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000009_BT315869,USAGE_DECISION,RELEASED
100000000000000009_BT315869,BATCH_USAGE_IN_ORDERS,YES
100000000000000009_BT315869,PRODUCTION_DATE,2025-05-11
100000000000000009_BT337543,LOT_SUITABLE_COUNTRY,"FR,IN,MY,NL,PT,ZA"
100000000000000009_BT337543,LOT_NOT_SUITABLE_COUNTRY,TH
100000000000000009_BT337543,LOT_STATUS,BLOCKED
100000000000000009_BT337543,INCYTE_BS_BATCH,BS-685014
100000000000000009_BT337543,INCYTE_DP_BATCH,DP-294019
100000000000000009_BT337543,INCYTE_API_BATCH,API-655698
100000000000000009_BT337543,INCYTE_COMMON_BLEND_BATCH,CB-169340
100000000000000009_BT337543,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000009_BT337543,PRODUCTION_VERSION,PV-9
100000000000000009_BT337543,PROD_VERSION_DESCRIPTION,Production Version 14
100000000000000009_BT337543,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000009_BT337543,USAGE_DECISION,RELEASED
100000000000000009_BT337543,BATCH_USAGE_IN_ORDERS,YES
100000000000000009_BT337543,PRODUCTION_DATE,2023-10-13
100000000000000010_BT401965,LOT_SUITABLE_COUNTRY,"CH,CN,JP,KR"
100000000000000010_BT401965,LOT_NOT_SUITABLE_COUNTRY,"BR,MY,UK,US"
100000000000000010_BT401965,LOT_STATUS,IN_PROCESS
100000000000000010_BT401965,INCYTE_BS_BATCH,BS-608835
100000000000000010_BT401965,INCYTE_DP_BATCH,DP-615951
100000000000000010_BT401965,INCYTE_API_BATCH,API-484656
100000000000000010_BT401965,INCYTE_COMMON_BLEND_BATCH,CB-482366
100000000000000010_BT401965,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000010_BT401965,PRODUCTION_VERSION,PV-5
100000000000000010_BT401965,PROD_VERSION_DESCRIPTION,Production Version 15
100000000000000010_BT401965,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000010_BT401965,USAGE_DECISION,REJECTED
100000000000000010_BT401965,BATCH_USAGE_IN_ORDERS,YES
100000000000000010_BT401965,PRODUCTION_DATE,2025-04-18
100000000000000010_BT159514,LOT_SUITABLE_COUNTRY,"DK,FI,NL,NO,PH,PT"
100000000000000010_BT159514,LOT_NOT_SUITABLE_COUNTRY,"BR,MX,SE,UK"
100000000000000010_BT159514,LOT_STATUS,ACTIVE
100000000000000010_BT159514,INCYTE_BS_BATCH,BS-299468
100000000000000010_BT159514,INCYTE_DP_BATCH,DP-044369
100000000000000010_BT159514,INCYTE_API_BATCH,API-957773
100000000000000010_BT159514,INCYTE_COMMON_BLEND_BATCH,CB-872148
100000000000000010_BT159514,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000010_BT159514,PRODUCTION_VERSION,PV-9
100000000000000010_BT159514,PROD_VERSION_DESCRIPTION,Production Version 1
100000000000000010_BT159514,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000010_BT159514,USAGE_DECISION,REJECTED
100000000000000010_BT159514,BATCH_USAGE_IN_ORDERS,YES
100000000000000010_BT159514,PRODUCTION_DATE,2024-08-19
100000000000000010_BT443699,LOT_SUITABLE_COUNTRY,"CH,DE,JP,MY,SE,SG,TH"
100000000000000010_BT443699,LOT_NOT_SUITABLE_COUNTRY,FI
100000000000000010_BT443699,LOT_STATUS,ACTIVE
100000000000000010_BT443699,INCYTE_BS_BATCH,BS-951343
100000000000000010_BT443699,INCYTE_DP_BATCH,DP-320037
100000000000000010_BT443699,INCYTE_API_BATCH,API-917693
100000000000000010_BT443699,INCYTE_COMMON_BLEND_BATCH,CB-676320
100000000000000010_BT443699,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000010_BT443699,PRODUCTION_VERSION,PV-2
100000000000000010_BT443699,PROD_VERSION_DESCRIPTION,Production Version 11
100000000000000010_BT443699,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000010_BT443699,USAGE_DECISION,QUARANTINE
100000000000000010_BT443699,BATCH_USAGE_IN_ORDERS,YES
100000000000000010_BT443699,PRODUCTION_DATE,2025-01-27
100000000000000011_BT200379,LOT_SUITABLE_COUNTRY,"BE,DE,FR,IN,KR,MY,PL"
100000000000000011_BT200379,LOT_NOT_SUITABLE_COUNTRY,"AU,DK,NO"
100000000000000011_BT200379,LOT_STATUS,BLOCKED
100000000000000011_BT200379,INCYTE_BS_BATCH,BS-163287
100000000000000011_BT200379,INCYTE_DP_BATCH,DP-083172
100000000000000011_BT200379,INCYTE_API_BATCH,API-788957
100000000000000011_BT200379,INCYTE_COMMON_BLEND_BATCH,CB-986872
100000000000000011_BT200379,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000011_BT200379,PRODUCTION_VERSION,PV-4
100000000000000011_BT200379,PROD_VERSION_DESCRIPTION,Production Version 5
100000000000000011_BT200379,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000011_BT200379,USAGE_DECISION,RELEASED
100000000000000011_BT200379,BATCH_USAGE_IN_ORDERS,NO
100000000000000011_BT200379,PRODUCTION_DATE,2025-08-29
100000000000000011_BT083172,LOT_SUITABLE_COUNTRY,"CA,FR,IE,PH,ZA"
100000000000000011_BT083172,LOT_NOT_SUITABLE_COUNTRY,PL
100000000000000011_BT083172,LOT_STATUS,BLOCKED
100000000000000011_BT083172,INCYTE_BS_BATCH,BS-774348
100000000000000011_BT083172,INCYTE_DP_BATCH,DP-734714
100000000000000011_BT083172,INCYTE_API_BATCH,API-345581
100000000000000011_BT083172,INCYTE_COMMON_BLEND_BATCH,CB-223623
100000000000000011_BT083172,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000011_BT083172,PRODUCTION_VERSION,PV-10
100000000000000011_BT083172,PROD_VERSION_DESCRIPTION,Production Version 2
100000000000000011_BT083172,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000011_BT083172,USAGE_DECISION,RELEASED
100000000000000011_BT083172,BATCH_USAGE_IN_ORDERS,YES
100000000000000011_BT083172,PRODUCTION_DATE,2025-07-07
100000000000000011_BT873471,LOT_SUITABLE_COUNTRY,"AU,ES,FR,PH,TH"
100000000000000011_BT873471,LOT_NOT_SUITABLE_COUNTRY,"SE,US"
100000000000000011_BT873471,LOT_STATUS,ACTIVE
100000000000000011_BT873471,INCYTE_BS_BATCH,BS-166587
100000000000000011_BT873471,INCYTE_DP_BATCH,DP-603669
100000000000000011_BT873471,INCYTE_API_BATCH,API-096705
100000000000000011_BT873471,INCYTE_COMMON_BLEND_BATCH,CB-466889
100000000000000011_BT873471,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000011_BT873471,PRODUCTION_VERSION,PV-14
100000000000000011_BT873471,PROD_VERSION_DESCRIPTION,Production Version 9
100000000000000011_BT873471,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000011_BT873471,USAGE_DECISION,REJECTED
100000000000000011_BT873471,BATCH_USAGE_IN_ORDERS,YES
100000000000000011_BT873471,PRODUCTION_DATE,2025-04-02
100000000000000012_BT760366,LOT_SUITABLE_COUNTRY,"DK,IT,MY,NL,SE,SG,UK,US"
100000000000000012_BT760366,LOT_NOT_SUITABLE_COUNTRY,"FI,KR"
100000000000000012_BT760366,LOT_STATUS,EXPIRED
100000000000000012_BT760366,INCYTE_BS_BATCH,BS-373467
100000000000000012_BT760366,INCYTE_DP_BATCH,DP-065627
100000000000000012_BT760366,INCYTE_API_BATCH,API-298069
100000000000000012_BT760366,INCYTE_COMMON_BLEND_BATCH,CB-901627
100000000000000012_BT760366,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000012_BT760366,PRODUCTION_VERSION,PV-12
100000000000000012_BT760366,PROD_VERSION_DESCRIPTION,Production Version 9
100000000000000012_BT760366,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000012_BT760366,USAGE_DECISION,RELEASED
100000000000000012_BT760366,BATCH_USAGE_IN_ORDERS,YES
100000000000000012_BT760366,PRODUCTION_DATE,2025-10-28
100000000000000013_BT467065,LOT_SUITABLE_COUNTRY,"CA,CN,DK,FI"
100000000000000013_BT467065,LOT_NOT_SUITABLE_COUNTRY,"BE,IN,PL"
100000000000000013_BT467065,LOT_STATUS,IN_PROCESS
100000000000000013_BT467065,INCYTE_BS_BATCH,BS-204653
100000000000000013_BT467065,INCYTE_DP_BATCH,DP-755646
100000000000000013_BT467065,INCYTE_API_BATCH,API-417080
100000000000000013_BT467065,INCYTE_COMMON_BLEND_BATCH,CB-531003
100000000000000013_BT467065,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000013_BT467065,PRODUCTION_VERSION,PV-14
100000000000000013_BT467065,PROD_VERSION_DESCRIPTION,Production Version 1
100000000000000013_BT467065,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000013_BT467065,USAGE_DECISION,RELEASED
100000000000000013_BT467065,BATCH_USAGE_IN_ORDERS,YES
100000000000000013_BT467065,PRODUCTION_DATE,2025-02-12
100000000000000013_BT046537,LOT_SUITABLE_COUNTRY,"CA,DE,ES,IE,US"
100000000000000013_BT046537,LOT_NOT_SUITABLE_COUNTRY,"BE,KR,SG"
100000000000000013_BT046537,LOT_STATUS,ACTIVE
100000000000000013_BT046537,INCYTE_BS_BATCH,BS-309232
100000000000000013_BT046537,INCYTE_DP_BATCH,DP-719374
100000000000000013_BT046537,INCYTE_API_BATCH,API-529912
100000000000000013_BT046537,INCYTE_COMMON_BLEND_BATCH,CB-419049
100000000000000013_BT046537,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000013_BT046537,PRODUCTION_VERSION,PV-7
100000000000000013_BT046537,PROD_VERSION_DESCRIPTION,Production Version 9
100000000000000013_BT046537,PRODUCTION_CAMPAIGN_NUMBER,""
100000000000000013_BT046537,USAGE_DECISION,RELEASED
100000000000000013_BT046537,BATCH_USAGE_IN_ORDERS,YES
100000000000000013_BT046537,PRODUCTION_DATE,2024-02-03
100000000000000013_BT309232,LOT_SUITABLE_COUNTRY,"AU,BE,DE,ES,MY,NL,PH,TH"
100000000000000013_BT309232,LOT_NOT_SUITABLE_COUNTRY,"FI,IE,MX,ZA"
100000000000000013_BT309232,LOT_STATUS,EXPIRED
100000000000000013_BT309232,INCYTE_BS_BATCH,BS-663193
100000000000000013_BT309232,INCYTE_DP_BATCH,DP-149190
100000000000000013_BT309232,INCYTE_API_BATCH,API-586518
100000000000000013_BT309232,INCYTE_COMMON_BLEND_BATCH,CB-506716
100000000000000013_BT309232,INCYTE_STARTING_MATERIAL_BATCH,""
100000000000000013_BT309232,PRODUCTION_VERSION,PV-13
