MANDT,PLNTY,PLNNR,PLNAL,ZAEHL,DATUV,TECHV,AENNR,LOEKZ,PARKZ,ANDAT,ANNAM,AEDAT,AENAM,VERWE,WERKS,STATU,PLNME,LOSVN,LOSBS,VAGRP,AESZN,KTEXT,TXTSP,ABDAT,ABANZ,PROFIDNETZ,KOKRS,QVEWERKS,QVEMENGE,QVEVERSION,QVEDATUM,QVEGRUPPE,QVECODE,QDYNREGEL,QDYNHEAD,QPRZIEHVER,QVERSNPRZV,QKZRASTER,QDYNSTRING,STRAT,PPOOL,ISTRU,IWERK,ANLZU,ARBID,EXTNUM,DELKZ,ARBTY,STUPR,CLNDR,PRTYP,REODAT,NETID,FLG_CHK,PSPNR,TTRAS,KZKFG,PLNNR_ALT,FLG_CAPO,STLTY,STLNR,STLAL,SLWBEZ,PPKZTLZU,CHRULE,CCOAA,ST_ARBID,MEINH,UMREZ,UMREN,BMSCH,ADPSP,MS_FLAG,TSTMP_BW,MES_ROUTINGID,XHIERTL,TL_EXTID
200,Q,10000010,01,00000011,20260202,TECH_STATUS_10,CHG000000010,"",X,20260212,USER_010,20260212,CHG_USER_010,002,PL11,INAC,EA,11.000,110.000,001,000010,Routing for Material 0010,E,20260212,10,PROF010,K001,PL11,UDSET0010,000010,20260212,UDGRP0010,A001,001,1,SAMP0010,000010,X,0000000010,STR010,PKG010,000000000000100010,PL11,1,00001010,1,"",01,SETUP010,CLEAN010,1,20260212,00002010,X,00003010,000010,X,OLD_000010,X,M,00000010,01,001,1,1,010,00004010,EA,1,1,1.000,REF_ELEMENT_10,X,1000000000000010,MES_ROUT_10,X,EXT_TASKLIST_10
300,R,10000011,02,00000012,20260201,TECH_STATUS_11,CHG000000011,"","",20260212,USER_011,20260212,CHG_USER_011,003,PL12,HOLD,EA,12.000,111.000,002,000011,Routing for Material 0011,E,20260212,11,PROF011,K001,PL12,UDSET0011,000011,20260212,UDGRP0011,R001,002,1,SAMP0011,000011,X,0000000011,STR011,PKG011,000000000000100011,PL12,1,00001011,1,"",01,SETUP011,CLEAN011,1,20260212,00002011,X,00003011,000011,X,OLD_000011,X,M,00000011,01,002,1,1,011,00004011,EA,1,1,1.000,REF_ELEMENT_11,X,1000000000000011,MES_ROUT_11,X,EXT_TASKLIST_11
100,N,10000012,03,00000013,20260131,TECH_STATUS_12,CHG000000012,"","",20260212,USER_012,20260212,CHG_USER_012,001,PL13,REL,EA,13.000,112.000,003,000012,Routing for Material 0012,E,20260212,12,PROF012,K001,PL13,UDSET0012,000012,20260212,UDGRP0012,A002,003,1,SAMP0012,000012,X,0000000012,STR012,PKG012,000000000000100012,PL13,1,00001012,1,"",01,SETUP012,CLEAN012,1,20260212,00002012,X,00003012,000012,X,OLD_000012,X,M,00000012,01,003,1,1,012,00004012,EA,1,1,1.000,REF_ELEMENT_12,X,1000000000000012,MES_ROUT_12,X,EXT_TASKLIST_12
200,Q,10000013,04,00000014,20260130,TECH_STATUS_13,CHG000000013,"","",20260212,USER_013,20260212,CHG_USER_013,002,PL14,CRTD,EA,14.000,113.000,004,000013,Routing for Material 0013,E,20260212,13,PROF013,K001,PL14,UDSET0013,000013,20260212,UDGRP0013,A002,004,1,SAMP0013,000013,X,0000000013,STR013,PKG013,000000000000100013,PL14,1,00001013,1,"",01,SETUP013,CLEAN013,1,20260212,00002013,X,00003013,000013,X,OLD_000013,X,M,00000013,01,004,1,1,013,00004013,EA,1,1,1.000,REF_ELEMENT_13,X,1000000000000013,MES_ROUT_13,X,EXT_TASKLIST_13
300,R,10000014,05,00000015,20260129,TECH_STATUS_14,CHG000000014,"","",20260212,USER_014,20260212,CHG_USER_014,003,PL15,INAC,EA,15.000,114.000,005,000014,Routing for Material 0014,E,20260212,14,PROF014,K001,PL15,UDSET0014,000014,20260212,UDGRP0014,A002,005,1,SAMP0014,000014,X,0000000014,STR014,PKG014,000000000000100014,PL15,1,00001014,1,"",01,SETUP014,CLEAN014,1,20260212,00002014,X,00003014,000014,X,OLD_000014,X,M,00000014,01,005,1,1,014,00004014,EA,1,1,1.000,REF_ELEMENT_14,X,1000000000000014,MES_ROUT_14,X,EXT_TASKLIST_14
100,N,10000015,01,00000016,20260128,TECH_STATUS_15,CHG000000015,X,"",20260212,USER_015,20260212,CHG_USER_015,001,PL16,HOLD,EA,16.000,115.000,006,000015,Routing for Material 0015,E,20260212,15,PROF015,K001,PL16,UDSET0015,000015,20260212,UDGRP0015,A001,001,1,SAMP0015,000015,X,0000000015,STR015,PKG015,000000000000100015,PL16,1,00001015,1,"",01,SETUP015,CLEAN015,1,20260212,00002015,X,00003015,000015,X,OLD_000015,X,M,00000015,01,001,1,1,015,00004015,EA,1,1,1.000,REF_ELEMENT_15,X,1000000000000015,MES_ROUT_15,X,EXT_TASKLIST_15
200,Q,10000016,02,00000017,20260127,TECH_STATUS_16,CHG000000016,"","",20260212,USER_016,20260212,CHG_USER_016,002,PL17,REL,EA,17.000,116.000,007,000016,Routing for Material 0016,E,20260212,16,PROF016,K001,PL17,UDSET0016,000016,20260212,UDGRP0016,R001,002,1,SAMP0016,000016,X,0000000016,STR016,PKG016,000000000000100016,PL17,1,00001016,1,"",01,SETUP016,CLEAN016,1,20260212,00002016,X,00003016,000016,X,OLD_000016,X,M,00000016,01,002,1,1,016,00004016,EA,1,1,1.000,REF_ELEMENT_16,X,1000000000000016,MES_ROUT_16,X,EXT_TASKLIST_16
300,R,10000017,03,00000018,20260126,TECH_STATUS_17,CHG000000017,"","",20260212,USER_017,20260212,CHG_USER_017,003,PL18,CRTD,EA,18.000,117.000,008,000017,Routing for Material 0017,E,20260212,17,PROF017,K001,PL18,UDSET0017,000017,20260212,UDGRP0017,A002,003,1,SAMP0017,000017,X,0000000017,STR017,PKG017,000000000000100017,PL18,1,00001017,1,"",01,SETUP017,CLEAN017,1,20260212,00002017,X,00003017,000017,X,OLD_000017,X,M,00000017,01,003,1,1,017,00004017,EA,1,1,1.000,REF_ELEMENT_17,X,1000000000000017,MES_ROUT_17,X,EXT_TASKLIST_17
100,N,10000018,04,00000019,20260125,TECH_STATUS_18,CHG000000018,"","",20260212,USER_018,20260212,CHG_USER_018,001,PL19,INAC,EA,19.000,118.000,009,000018,Routing for Material 0018,E,20260212,18,PROF018,K001,PL19,UDSET0018,000018,20260212,UDGRP0018,A002,004,1,SAMP0018,000018,X,0000000018,STR018,PKG018,000000000000100018,PL19,1,00001018,1,"",01,SETUP018,CLEAN018,1,20260212,00002018,X,00003018,000018,X,OLD_000018,X,M,00000018,01,004,1,1,018,00004018,EA,1,1,1.000,REF_ELEMENT_18,X,1000000000000018,MES_ROUT_18,X,EXT_TASKLIST_18
200,Q,10000019,05,00000020,20260124,TECH_STATUS_19,CHG000000019,"","",20260212,USER_019,20260212,CHG_USER_019,002,PL20,HOLD,EA,20.000,119.000,010,000019,Routing for Material 0019,E,20260212,19,PROF019,K001,PL20,UDSET0019,000019,20260212,UDGRP0019,A002,005,1,SAMP0019,000019,X,0000000019,STR019,PKG019,000000000000100019,PL20,1,00001019,1,"",01,SETUP019,CLEAN019,1,20260212,00002019,X,00003019,000019,X,OLD_000019,X,M,00000019,01,005,1,1,019,00004019,EA,1,1,1.000,REF_ELEMENT_19,X,1000000000000019,MES_ROUT_19,X,EXT_TASKLIST_19
300,R,10000020,01,00000021,20260123,TECH_STATUS_00,CHG000000020,"",X,20260212,USER_020,20260212,CHG_USER_020,003,PL01,REL,EA,21.000,120.000,001,000020,Routing for Material 0020,E,20260212,20,PROF020,K001,PL01,UDSET0020,000020,20260212,UDGRP0020,A001,001,1,SAMP0020,000020,X,0000000020,STR020,PKG020,000000000000100020,PL01,1,00001020,1,X,01,SETUP020,CLEAN020,1,20260212,00002020,X,00003020,000020,X,OLD_000020,X,M,00000020,01,001,1,1,020,00004020,EA,1,1,1.000,REF_ELEMENT_20,X,1000000000000020,MES_ROUT_20,X,EXT_TASKLIST_20
100,N,10000021,02,00000022,20260122,TECH_STATUS_01,CHG000000021,"","",20260212,USER_021,20260212,CHG_USER_021,001,PL02,CRTD,EA,22.000,121.000,002,000021,Routing for Material 0021,E,20260212,21,PROF021,K001,PL02,UDSET0021,000021,20260212,UDGRP0021,R001,002,1,SAMP0021,000021,X,0000000021,STR021,PKG021,000000000000100021,PL02,1,00001021,1,"",01,SETUP021,CLEAN021,1,20260212,00002021,X,00003021,000021,X,OLD_000021,X,M,00000021,01,002,1,1,021,00004021,EA,1,1,1.000,REF_ELEMENT_21,X,1000000000000021,MES_ROUT_21,X,EXT_TASKLIST_21
200,Q,10000022,03,00000023,20260121,TECH_STATUS_02,CHG000000022,"","",20260212,USER_022,20260212,CHG_USER_022,002,PL03,INAC,EA,23.000,122.000,003,000022,Routing for Material 0022,E,20260212,22,PROF022,K001,PL03,UDSET0022,000022,20260212,UDGRP0022,A002,003,1,SAMP0022,000022,X,0000000022,STR022,PKG022,000000000000100022,PL03,1,00001022,1,"",01,SETUP022,CLEAN022,1,20260212,00002022,X,00003022,000022,X,OLD_000022,X,M,00000022,01,003,1,1,022,00004022,EA,1,1,1.000,REF_ELEMENT_22,X,1000000000000022,MES_ROUT_22,X,EXT_TASKLIST_22
300,R,10000023,04,00000024,20260120,TECH_STATUS_03,CHG000000023,"","",20260212,USER_023,20260212,CHG_USER_023,003,PL04,HOLD,EA,24.000,123.000,004,000023,Routing for Material 0023,E,20260212,23,PROF023,K001,PL04,UDSET0023,000023,20260212,UDGRP0023,A002,004,1,SAMP0023,000023,X,0000000023,STR023,PKG023,000000000000100023,PL04,1,00001023,1,"",01,SETUP023,CLEAN023,1,20260212,00002023,X,00003023,000023,X,OLD_000023,X,M,00000023,01,004,1,1,023,00004023,EA,1,1,1.000,REF_ELEMENT_23,X,1000000000000023,MES_ROUT_23,X,EXT_TASKLIST_23
100,N,10000024,05,00000025,20260119,TECH_STATUS_04,CHG000000024,"","",20260212,USER_024,20260212,CHG_USER_024,001,PL05,REL,EA,25.000,124.000,005,000024,Routing for Material 0024,E,20260212,24,PROF024,K001,PL05,UDSET0024,000024,20260212,UDGRP0024,A002,005,1,SAMP0024,000024,X,0000000024,STR024,PKG024,000000000000100024,PL05,1,00001024,1,"",01,SETUP024,CLEAN024,1,20260212,00002024,X,00003024,000024,X,OLD_000024,X,M,00000024,01,005,1,1,024,00004024,EA,1,1,1.000,REF_ELEMENT_24,X,1000000000000024,MES_ROUT_24,X,EXT_TASKLIST_24
200,Q,10000025,01,00000026,20260118,TECH_STATUS_05,CHG000000025,"","",20260212,USER_025,20260212,CHG_USER_025,002,PL06,CRTD,EA,26.000,125.000,006,000025,Routing for Material 0025,E,20260212,25,PROF025,K001,PL06,UDSET0025,000025,20260212,UDGRP0025,A001,001,1,SAMP0025,000025,X,0000000025,STR025,PKG025,000000000000100025,PL06,1,00001025,1,"",01,SETUP025,CLEAN025,1,20260212,00002025,X,00003025,000025,X,OLD_000025,X,M,00000025,01,001,1,1,025,00004025,EA,1,1,1.000,REF_ELEMENT_25,X,1000000000000025,MES_ROUT_25,X,EXT_TASKLIST_25
300,R,10000026,02,00000027,20260117,TECH_STATUS_06,CHG000000026,"","",20260212,USER_026,20260212,CHG_USER_026,003,PL07,INAC,EA,27.000,126.000,007,000026,Routing for Material 0026,E,20260212,26,PROF026,K001,PL07,UDSET0026,000026,20260212,UDGRP0026,R001,002,1,SAMP0026,000026,X,0000000026,STR026,PKG026,000000000000100026,PL07,1,00001026,1,"",01,SETUP026,CLEAN026,1,20260212,00002026,X,00003026,000026,X,OLD_000026,X,M,00000026,01,002,1,1,026,00004026,EA,1,1,1.000,REF_ELEMENT_26,X,1000000000000026,MES_ROUT_26,X,EXT_TASKLIST_26
100,N,10000027,03,00000028,20260116,TECH_STATUS_07,CHG000000027,"","",20260212,USER_027,20260212,CHG_USER_027,001,PL08,HOLD,EA,28.000,127.000,008,000027,Routing for Material 0027,E,20260212,27,PROF027,K001,PL08,UDSET0027,000027,20260212,UDGRP0027,A002,003,1,SAMP0027,000027,X,0000000027,STR027,PKG027,000000000000100027,PL08,1,00001027,1,"",01,SETUP027,CLEAN027,1,20260212,00002027,X,00003027,000027,X,OLD_000027,X,M,00000027,01,003,1,1,027,00004027,EA,1,1,1.000,REF_ELEMENT_27,X,1000000000000027,MES_ROUT_27,X,EXT_TASKLIST_27
200,Q,10000028,04,00000029,20260115,TECH_STATUS_08,CHG000000028,"","",20260212,USER_028,20260212,CHG_USER_028,002,PL09,REL,EA,29.000,128.000,009,000028,Routing for Material 0028,E,20260212,28,PROF028,K001,PL09,UDSET0028,000028,20260212,UDGRP0028,A002,004,1,SAMP0028,000028,X,0000000028,STR028,PKG028,000000000000100028,PL09,1,00001028,1,"",01,SETUP028,CLEAN028,1,20260212,00002028,X,00003028,000028,X,OLD_000028,X,M,00000028,01,004,1,1,028,00004028,EA,1,1,1.000,REF_ELEMENT_28,X,1000000000000028,MES_ROUT_28,X,EXT_TASKLIST_28
300,R,10000029,05,00000030,20260114,TECH_STATUS_09,CHG000000029,"","",20260212,USER_029,20260212,CHG_USER_029,003,PL10,CRTD,EA,30.000,129.000,010,000029,Routing for Material 0029,E,20260212,29,PROF029,K001,PL10,UDSET0029,000029,20260212,UDGRP0029,A002,005,1,SAMP0029,000029,X,0000000029,STR029,PKG029,000000000000100029,PL10,1,00001029,1,"",01,SETUP029,CLEAN029,1,20260212,00002029,X,00003029,000029,X,OLD_000029,X,M,00000029,01,005,1,1,029,00004029,EA,1,1,1.000,REF_ELEMENT_29,X,1000000000000029,MES_ROUT_29,X,EXT_TASKLIST_29
100,N,10000030,01,00000031,20260113,TECH_STATUS_10,CHG000000030,X,X,20260212,USER_030,20260212,CHG_USER_030,001,PL11,INAC,EA,31.000,130.000,001,000030,Routing for Material 0030,E,20260212,30,PROF030,K001,PL11,UDSET0030,000030,20260212,UDGRP0030,A001,001,1,SAMP0030,000030,X,0000000030,STR030,PKG030,000000000000100030,PL11,1,00001030,1,"",01,SETUP030,CLEAN030,1,20260212,00002030,X,00003030,000030,X,OLD_000030,X,M,00000030,01,001,1,1,030,00004030,EA,1,1,1.000,REF_ELEMENT_30,X,1000000000000030,MES_ROUT_30,X,EXT_TASKLIST_30
200,Q,10000031,02,00000032,20260112,TECH_STATUS_11,CHG000000031,"","",20260212,USER_031,20260212,CHG_USER_031,002,PL12,HOLD,EA,32.000,131.000,002,000031,Routing for Material 0031,E,20260212,31,PROF031,K001,PL12,UDSET0031,000031,20260212,UDGRP0031,R001,002,1,SAMP0031,000031,X,0000000031,STR031,PKG031,000000000000100031,PL12,1,00001031,1,"",01,SETUP031,CLEAN031,1,20260212,00002031,X,00003031,000031,X,OLD_000031,X,M,00000031,01,002,1,1,031,00004031,EA,1,1,1.000,REF_ELEMENT_31,X,1000000000000031,MES_ROUT_31,X,EXT_TASKLIST_31
300,R,10000032,03,00000033,20260111,TECH_STATUS_12,CHG000000032,"","",20260212,USER_032,20260212,CHG_USER_032,003,PL13,REL,EA,33.000,132.000,003,000032,Routing for Material 0032,E,20260212,32,PROF032,K001,PL13,UDSET0032,000032,20260212,UDGRP0032,A002,003,1,SAMP0032,000032,X,0000000032,STR032,PKG032,000000000000100032,PL13,1,00001032,1,"",01,SETUP032,CLEAN032,1,20260212,00002032,X,00003032,000032,X,OLD_000032,X,M,00000032,01,003,1,1,032,00004032,EA,1,1,1.000,REF_ELEMENT_32,X,1000000000000032,MES_ROUT_32,X,EXT_TASKLIST_32
100,N,10000033,04,00000034,20260110,TECH_STATUS_13,CHG000000033,"","",20260212,USER_033,20260212,CHG_USER_033,001,PL14,CRTD,EA,34.000,133.000,004,000033,Routing for Material 0033,E,20260212,33,PROF033,K001,PL14,UDSET0033,000033,20260212,UDGRP0033,A002,004,1,SAMP0033,000033,X,0000000033,STR033,PKG033,000000000000100033,PL14,1,00001033,1,"",01,SETUP033,CLEAN033,1,20260212,00002033,X,00003033,000033,X,OLD_000033,X,M,00000033,01,004,1,1,033,00004033,EA,1,1,1.000,REF_ELEMENT_33,X,1000000000000033,MES_ROUT_33,X,EXT_TASKLIST_33
200,Q,10000034,05,00000035,20260109,TECH_STATUS_14,CHG000000034,"","",20260212,USER_034,20260212,CHG_USER_034,002,PL15,INAC,EA,35.000,134.000,005,000034,Routing for Material 0034,E,20260212,34,PROF034,K001,PL15,UDSET0034,000034,20260212,UDGRP0034,A002,005,1,SAMP0034,000034,X,0000000034,STR034,PKG034,000000000000100034,PL15,1,00001034,1,"",01,SETUP034,CLEAN034,1,20260212,00002034,X,00003034,000034,X,OLD_000034,X,M,00000034,01,005,1,1,034,00004034,EA,1,1,1.000,REF_ELEMENT_34,X,1000000000000034,MES_ROUT_34,X,EXT_TASKLIST_34
300,R,10000035,01,00000036,20260108,TECH_STATUS_15,CHG000000035,"","",20260212,USER_035,20260212,CHG_USER_035,003,PL16,HOLD,EA,36.000,135.000,006,000035,Routing for Material 0035,E,20260212,35,PROF035,K001,PL16,UDSET0035,000035,20260212,UDGRP0035,A001,001,1,SAMP0035,000035,X,0000000035,STR035,PKG035,000000000000100035,PL16,1,00001035,1,"",01,SETUP035,CLEAN035,1,20260212,00002035,X,00003035,000035,X,OLD_000035,X,M,00000035,01,001,1,1,035,00004035,EA,1,1,1.000,REF_ELEMENT_35,X,1000000000000035,MES_ROUT_35,X,EXT_TASKLIST_35
100,N,10000036,02,00000037,20260107,TECH_STATUS_16,CHG000000036,"","",20260212,USER_036,20260212,CHG_USER_036,001,PL17,REL,EA,37.000,136.000,007,000036,Routing for Material 0036,E,20260212,36,PROF036,K001,PL17,UDSET0036,000036,20260212,UDGRP0036,R001,002,1,SAMP0036,000036,X,0000000036,STR036,PKG036,000000000000100036,PL17,1,00001036,1,"",01,SETUP036,CLEAN036,1,20260212,00002036,X,00003036,000036,X,OLD_000036,X,M,00000036,01,002,1,1,036,00004036,EA,1,1,1.000,REF_ELEMENT_36,X,1000000000000036,MES_ROUT_36,X,EXT_TASKLIST_36
200,Q,10000037,03,00000038,20260106,TECH_STATUS_17,CHG000000037,"","",20260212,USER_037,20260212,CHG_USER_037,002,PL18,CRTD,EA,38.000,137.000,008,000037,Routing for Material 0037,E,20260212,37,PROF037,K001,PL18,UDSET0037,000037,20260212,UDGRP0037,A002,003,1,SAMP0037,000037,X,0000000037,STR037,PKG037,000000000000100037,PL18,1,00001037,1,"",01,SETUP037,CLEAN037,1,20260212,00002037,X,00003037,000037,X,OLD_000037,X,M,00000037,01,003,1,1,037,00004037,EA,1,1,1.000,REF_ELEMENT_37,X,1000000000000037,MES_ROUT_37,X,EXT_TASKLIST_37
300,R,10000038,04,00000039,20260105,TECH_STATUS_18,CHG000000038,"","",20260212,USER_038,20260212,CHG_USER_038,003,PL19,INAC,EA,39.000,138.000,009,000038,Routing for Material 0038,E,20260212,38,PROF038,K001,PL19,UDSET0038,000038,20260212,UDGRP0038,A002,004,1,SAMP0038,000038,X,0000000038,STR038,PKG038,000000000000100038,PL19,1,00001038,1,"",01,SETUP038,CLEAN038,1,20260212,00002038,X,00003038,000038,X,OLD_000038,X,M,00000038,01,004,1,1,038,00004038,EA,1,1,1.000,REF_ELEMENT_38,X,1000000000000038,MES_ROUT_38,X,EXT_TASKLIST_38
100,N,10000039,05,00000040,20260104,TECH_STATUS_19,CHG000000039,"","",20260212,USER_039,20260212,CHG_USER_039,001,PL20,HOLD,EA,40.000,139.000,010,000039,Routing for Material 0039,E,20260212,39,PROF039,K001,PL20,UDSET0039,000039,20260212,UDGRP0039,A002,005,1,SAMP0039,000039,X,0000000039,STR039,PKG039,000000000000100039,PL20,1,00001039,1,"",01,SETUP039,CLEAN039,1,20260212,00002039,X,00003039,000039,X,OLD_000039,X,M,00000039,01,005,1,1,039,00004039,EA,1,1,1.000,REF_ELEMENT_39,X,1000000000000039,MES_ROUT_39,X,EXT_TASKLIST_39
200,Q,10000040,01,00000041,20260103,TECH_STATUS_00,CHG000000040,"",X,20260212,USER_040,20260212,CHG_USER_040,002,PL01,REL,EA,41.000,140.000,001,000040,Routing for Material 0040,E,20260212,40,PROF040,K001,PL01,UDSET0040,000040,20260212,UDGRP0040,A001,001,1,SAMP0040,000040,X,0000000040,STR040,PKG040,000000000000100040,PL01,1,00001040,1,X,01,SETUP040,CLEAN040,1,20260212,00002040,X,00003040,000040,X,OLD_000040,X,M,00000040,01,001,1,1,040,00004040,EA,1,1,1.000,REF_ELEMENT_40,X,1000000000000040,MES_ROUT_40,X,EXT_TASKLIST_40
