MANDT,EBELN,EBELP,ETENR,EINDT,SLFDT,LPEIN,MENGE,AMENG,WEMNG,WAMNG,UZEIT,BANFN,BNFPO,ESTKZ,QUNUM,QUPOS,MAHNZ,BEDAT,RSNUM,SERNR,FIXKZ,GLMNG,DABMG,CHARG,LICHA,CHKOM,VERID,ABART,MNG02,DAT01,ALTDT,MBDAT,MBUHR,LDDAT,LDUHR,TDDAT,TDUHR,WADAT,WAUHR,ELDAT,ELUHR,ANZSN,NODISP,HANDOVERDATE,HANDOVERTIME,KEY_ID,OTB_VALUE,OTB_CURR,OTB_RES_VALUE,OTB_SPEC_VALUE,OTB_STATUS,OTB_REASON,CHECK_TYPE,DL_ID,HANDOVER_DATE,NO_SCEM,DNG_DATE,DNG_TIME,CNCL_ANCMNT_DONE,DATESHIFT_NUMBER
200,4500000001,00020,0001,20251122,20251122,1,74.694,0,47.635,0,125448,PR06791431,00084,B,Q616509684,441,2,20251026,8772217045,SR734814,X,47.635,27.059,BATCH9080,VEND_BATCH548439,X,V627,2,74.694,20251122,20251120,20251122,082825,20251120,190257,20251119,071850,20251122,203414,20251123,231656,1,X,20251122,115233,6132282353627979,6992.46,INR,15879.95,3456.54,B,001,1,ef3daf0862f249e0abb3a4,20251122,,20251026,060627,,4
400,4500000001,00020,0002,20250819,20250819,2,74.694,0,33.987,0,012148,PR51493561,00025,F,Q234165079,061,1,20250809,4191547169,SR761890,X,33.987,40.707,BATCH2951,VEND_BATCH503063,,V995,2,74.694,20250819,20250817,20250819,084734,20250817,204722,20250816,163405,20250819,175847,20250820,155045,10,X,20250819,044525,6625153473782752,32803.02,INR,6460.21,669.37,B,002,2,46fdcdf4e4af4715a8b723,20250819,X,20250809,150921,,2
100,4500000001,00030,0001,20250728,20250728,1,57.779,0,46.512,0,114737,PR14338098,00065,F,Q508032129,372,2,20250721,9388709632,SR376278,X,46.512,11.267,BATCH6190,VEND_BATCH719120,,V925,1,57.779,20250728,20250725,20250728,174808,20250726,141448,20250725,132412,20250728,002953,20250729,154341,1,X,20250728,090215,8600809166995597,7925.55,INR,1599.96,2693.42,C,001,1,469470c7b14c449489acb9,20250728,X,20250721,025508,,1
100,4500000001,00030,0002,20260302,20260302,2,57.779,0,29.362,0,021346,PR78718884,00034,R,Q374505764,376,2,20260127,8090690595,SR556285,,29.362,28.417,BATCH8603,VEND_BATCH278354,,V066,3,57.779,20260302,20260225,20260302,081249,20260228,015917,20260227,145421,20260302,041501,20260303,002235,5,X,20260302,232811,4130891744472324,2724.8,INR,2758.55,2853.08,C,002,1,77759c07ef9743a2806e87,20260302,X,20260127,161343,,1
300,4500000001,00030,0003,20251102,20251102,1,57.779,0,32.0,0,195725,PR85478490,00024,F,Q464188759,863,2,20251022,7496724593,SR384335,,32.0,25.779,BATCH3612,VEND_BATCH697518,X,V320,1,57.779,20251102,20251030,20251102,230036,20251031,205859,20251030,011106,20251102,210442,20251103,175937,0,X,20251102,203308,6747992413985583,12256.4,INR,1770.71,571.32,A,003,1,63218a56f581430fa7f65b,20251102,,20251022,035754,X,0
200,4500000001,00040,0001,20250917,20250917,1,162.58,0,127.806,0,004629,PR47653185,00028,F,Q553760784,286,2,20250821,6507412227,SR811674,X,127.806,34.774,BATCH2103,VEND_BATCH286886,,V480,2,162.58,20250917,20250915,20250917,070948,20250915,071141,20250914,155943,20250917,235726,20250918,051649,8,,20250917,035319,2674199284547381,44550.62,INR,4093.64,3746.66,B,003,1,fc73d17ee7c9432f9816f0,20250917,,20250821,221954,,5
100,4500000001,00050,0001,20250421,20250421,1,83.671,0,55.722,0,005416,PR87592376,00017,F,Q746039516,193,2,20250407,3991328042,SR854847,,55.722,27.949,BATCH6462,VEND_BATCH704935,X,V894,2,83.671,20250421,20250416,20250421,175828,20250419,115609,20250418,040355,20250421,222707,20250422,082941,7,,20250421,213939,5569909272771414,45708.59,INR,17667.25,4988.26,B,003,1,6f9a872df4ad458c9b9a5c,20250421,X,20250407,165227,,2
200,4500000001,00050,0002,20250916,20250916,1,83.671,0,65.51,0,015455,PR75178494,00082,B,Q246038666,637,1,20250910,8241333957,SR449544,X,65.51,18.161,BATCH4416,VEND_BATCH488954,X,V004,1,83.671,20250916,20250913,20250916,125302,20250914,160547,20250913,140531,20250916,132931,20250917,194629,10,,20250916,151847,4620631730946994,14461.04,INR,1456.98,1771.79,A,003,2,621bad845cc448d688e589,20250916,,20250910,220322,X,4
300,4500000002,00010,0001,20251104,20251104,2,167.369,0,120.976,0,013200,PR39971005,00012,R,Q069680509,410,0,20251006,2921016865,SR015519,,120.976,46.393,BATCH7101,VEND_BATCH261976,X,V957,1,167.369,20251104,20251031,20251104,073453,20251102,161628,20251101,051159,20251104,205125,20251105,182207,3,X,20251104,202746,8797404572740331,39821.93,INR,10514.38,3139.14,B,001,2,356218eedef44dfa96eea5,20251104,X,20251006,173849,,2
400,4500000002,00010,0002,20250611,20250611,2,167.369,0,120.995,0,121100,PR94723994,00038,B,Q139227900,109,0,20250529,8727887449,SR860566,,120.995,46.374,BATCH2113,VEND_BATCH621064,X,V922,1,167.369,20250611,20250608,20250611,015102,20250609,135845,20250608,050659,20250611,033525,20250612,090135,1,X,20250611,173220,9468143895540081,13219.49,INR,18221.84,3765.57,A,001,2,ebd20abad9784fa5b32d45,20250611,,20250529,031842,X,5
200,4500000002,00020,0001,20260305,20260305,1,20.616,0,12.199,0,051907,PR92564687,00042,R,Q940886490,751,0,20260210,5628354971,SR131722,,12.199,8.417,BATCH3699,VEND_BATCH445058,,V288,2,20.616,20260305,20260304,20260305,235250,20260303,221053,20260302,172516,20260305,064030,20260306,112200,2,X,20260305,062142,3929571164737188,9559.91,INR,18464.72,854.96,B,002,1,1412f635c7704648abd81c,20260305,,20260210,201227,,4
300,4500000002,00020,0002,20250524,20250524,1,20.616,0,8.381,0,221424,PR81968662,00037,B,Q029863159,340,3,20250514,5296004922,SR979593,X,8.381,12.235,BATCH0298,VEND_BATCH134070,,V766,2,20.616,20250524,20250521,20250524,201309,20250522,082208,20250521,093425,20250524,222557,20250525,064025,5,,20250524,021850,9262677292873822,38509.17,INR,14530.51,666.67,B,003,2,4182828837ab4777a19de8,20250524,,20250514,170936,,4
100,4500000002,00020,0003,20260118,20260118,1,20.616,0,13.012,0,011614,PR19116804,00025,R,Q902904320,720,1,20251208,2035096389,SR484168,,13.012,7.604,BATCH7329,VEND_BATCH598768,X,V902,3,20.616,20260118,20260113,20260118,142844,20260116,125113,20260115,203643,20260118,092401,20260119,065031,4,,20260118,103706,9317909853789204,39026.67,INR,6045.94,916.48,C,002,2,cc0bcb15813246f487fe8e,20260118,,20251208,044134,X,0
200,4500000002,00030,0001,20250501,20250501,2,114.561,0,63.207,0,013702,PR99116081,00056,R,Q604985640,787,3,20250421,4018331457,SR479009,,63.207,51.354,BATCH0935,VEND_BATCH120699,X,V844,2,114.561,20250501,20250426,20250501,070234,20250429,183234,20250428,184429,20250501,030119,20250502,224824,4,X,20250501,132500,2328034291770730,13873.52,INR,13524.29,3518.33,A,003,1,f686dcb85d2845c0876987,20250501,,20250421,120102,,4
400,4500000002,00030,0002,20250802,20250802,1,114.561,0,49.088,0,075117,PR40635078,00050,R,Q705731786,219,0,20250620,5793881955,SR717793,,49.088,65.473,BATCH5759,VEND_BATCH290472,X,V340,2,114.561,20250802,20250730,20250802,140409,20250731,205542,20250730,105617,20250802,233024,20250803,150923,6,X,20250802,125356,4464315557160058,14978.08,INR,16347.06,2806.31,C,002,2,ed459740b9c549e599a289,20250802,X,20250620,113709,X,1
200,4500000002,00040,0001,20250509,20250509,2,497.083,0,284.902,0,195842,PR33731316,00016,B,Q946761557,125,1,20250327,4519188903,SR229783,,284.902,212.181,BATCH6841,VEND_BATCH356459,X,V460,3,497.083,20250509,20250508,20250509,204245,20250507,230753,20250506,113306,20250509,151331,20250510,194754,3,,20250509,055844,5068903092267100,35136.82,INR,15793.6,3070.72,C,003,1,599b477bb1b943239d3f69,20250509,X,20250327,231029,,3
100,4500000002,00050,0001,20260217,20260217,2,151.482,0,91.686,0,151431,PR26252161,00088,B,Q068548248,423,0,20260208,8398616954,SR076188,,91.686,59.796,BATCH6377,VEND_BATCH008117,X,V673,1,151.482,20260217,20260216,20260217,022455,20260215,102302,20260214,062525,20260217,214833,20260218,123345,1,,20260217,032357,3420690001966007,23939.87,INR,18345.09,167.52,C,002,1,7efc27bd759e48f89a4107,20260217,X,20260208,163330,,4
300,4500000002,00050,0002,20260207,20260207,1,151.482,0,71.326,0,213300,PR83841061,00038,F,Q129060231,197,2,20260112,3142163183,SR164009,X,71.326,80.156,BATCH0426,VEND_BATCH060900,X,V294,3,151.482,20260207,20260205,20260207,062257,20260205,002348,20260204,174117,20260207,121307,20260208,092036,7,,20260207,215752,6404009053024766,5649.48,INR,12871.43,3854.45,C,001,2,04d91723deee406aa18b89,20260207,,20260112,002621,X,0
400,4500000003,00010,0001,20250617,20250617,1,216.585,0,175.132,0,143314,PR26620093,00071,R,Q955125463,195,0,20250606,2506591055,SR958126,X,175.132,41.453,BATCH0078,VEND_BATCH502491,,V126,2,216.585,20250617,20250613,20250617,032118,20250615,233737,20250614,082754,20250617,162218,20250618,174533,10,X,20250617,105522,5895535407578969,14094.98,INR,10675.78,2037.53,B,001,1,81ac466217cc4a47a0cf3d,20250617,X,20250606,080754,,2
200,4500000003,00010,0002,20251203,20251203,2,216.585,0,158.96,0,173624,PR53608374,00046,F,Q330079898,657,3,20251107,5767976511,SR651759,,158.96,57.625,BATCH6933,VEND_BATCH001594,X,V003,1,216.585,20251203,20251129,20251203,165107,20251201,093817,20251130,170358,20251203,042416,20251204,000204,8,,20251203,054155,3310520956575516,24666.26,INR,13109.02,2792.57,B,002,2,158f3d6c90b94f0283a846,20251203,,20251107,140452,X,4
100,4500000003,00020,0001,20260219,20260219,1,100.296,0,97.282,0,005005,PR38661238,00051,R,Q029529779,074,1,20260204,5401094052,SR014212,X,97.282,3.014,BATCH0472,VEND_BATCH802982,X,V835,1,100.296,20260219,20260215,20260219,052610,20260217,190741,20260216,174358,20260219,091315,20260220,083958,10,,20260219,190123,2122515372988423,24184.09,INR,8919.09,4663.65,C,003,1,f489e278fae44cea80f983,20260219,,20260204,033107,X,5
200,4500000003,00030,0001,20251230,20251230,1,57.884,0,43.959,0,001853,PR42179157,00040,B,Q900463388,348,3,20251210,5283097899,SR536136,,43.959,13.925,BATCH8305,VEND_BATCH951572,X,V171,1,57.884,20251230,20251228,20251230,214426,20251228,003049,20251227,063705,20251230,172751,20251231,051038,6,X,20251230,025921,2706454764122794,44971.53,INR,8457.32,1220.29,C,001,1,78031bcf553c44bab2b29b,20251230,,20251210,110757,,0
300,4500000003,00030,0002,20250415,20250415,2,57.884,0,25.258,0,004818,PR05370532,00080,R,Q651019774,095,1,20250402,8698535714,SR875690,X,25.258,32.626,BATCH4045,VEND_BATCH163644,X,V632,1,57.884,20250415,20250413,20250415,171216,20250413,222308,20250412,221655,20250415,010022,20250416,001819,10,X,20250415,084337,4773138916998889,3374.19,INR,2615.67,4344.3,B,001,2,07f1889729f74605902239,20250415,,20250402,174232,,0
300,4500000003,00040,0001,20250625,20250625,2,477.5,0,251.732,0,164443,PR56310161,00039,R,Q780943341,918,0,20250610,9726606755,SR955053,X,251.732,225.768,BATCH3860,VEND_BATCH664105,,V495,3,477.5,20250625,20250623,20250625,125647,20250623,174017,20250622,131804,20250625,090737,20250626,224515,6,,20250625,151230,4685900031169571,11988.59,INR,8412.25,2403.08,B,002,2,5812fbb4620d423a831723,20250625,,20250610,202205,,1
100,4500000003,00050,0001,20251008,20251008,1,52.839,0,46.842,0,113727,PR66878076,00049,B,Q098032957,056,2,20250906,6154904135,SR915179,,46.842,5.997,BATCH2588,VEND_BATCH191364,,V567,2,52.839,20251008,20251006,20251008,062326,20251006,084935,20251005,132033,20251008,143742,20251009,002805,0,,20251008,001233,6096183658614043,34473.35,INR,12351.98,2364.89,B,002,1,3fdcd2897ec445dcb866d6,20251008,X,20250906,125343,X,3
400,4500000003,00050,0002,20251215,20251215,2,52.839,0,43.739,0,211930,PR32160274,00065,B,Q036249259,679,0,20251105,4815763297,SR049275,X,43.739,9.1,BATCH5238,VEND_BATCH337401,X,V875,3,52.839,20251215,20251212,20251215,052354,20251213,104544,20251212,073358,20251215,102704,20251216,205347,6,X,20251215,114857,7363935965861506,21207.8,INR,1952.57,3909.47,B,003,1,190f25c4506c4c18a7fe1b,20251215,,20251105,080318,,0
300,4500000003,00050,0003,20260206,20260206,1,52.839,0,47.455,0,224416,PR63028881,00082,B,Q718211820,563,0,20260107,1400768062,SR178384,,47.455,5.384,BATCH3753,VEND_BATCH890939,,V300,2,52.839,20260206,20260205,20260206,130511,20260204,205226,20260203,102642,20260206,131952,20260207,082039,10,X,20260206,172527,6100013581774114,11249.58,INR,5592.25,4171.62,B,001,2,12cd15e6f4624a24b5c959,20260206,X,20260107,194417,X,4
300,4500000004,00010,0001,20251031,20251031,2,206.081,0,106.816,0,013751,PR51684070,00059,B,Q437496566,663,2,20250927,1608937013,SR169084,,106.816,99.265,BATCH4566,VEND_BATCH645060,X,V737,1,206.081,20251031,20251026,20251031,171252,20251029,184816,20251028,050403,20251031,114735,20251101,063013,5,,20251031,074414,5778221406271501,33305.48,INR,10944.07,2880.67,B,001,1,e94a6da5040344b8a1ac72,20251031,,20250927,111331,,2
300,4500000004,00010,0002,20250925,20250925,2,206.081,0,196.061,0,150206,PR29568264,00056,F,Q444245180,820,1,20250821,6982473499,SR556451,X,196.061,10.02,BATCH1130,VEND_BATCH995485,,V262,1,206.081,20250925,20250920,20250925,185954,20250923,154428,20250922,210855,20250925,014322,20250926,122710,10,X,20250925,212727,7374577751701754,22267.6,INR,6060.31,804.31,B,002,1,082a874640824be3868e69,20250925,X,20250821,194931,,3
300,4500000004,00020,0001,20251114,20251114,2,32.377,0,28.019,0,033809,PR51046798,00020,B,Q936164463,110,2,20251015,1554751580,SR638896,,28.019,4.358,BATCH3940,VEND_BATCH443103,,V141,1,32.377,20251114,20251113,20251114,163433,20251112,145420,20251111,165235,20251114,004700,20251115,125912,10,X,20251114,151803,4852799370586375,10505.49,INR,4088.98,1361.35,A,002,2,b4466ddb680049f5b77418,20251114,X,20251015,015523,X,2
300,4500000004,00020,0002,20250514,20250514,2,32.377,0,13.738,0,171845,PR47706809,00031,F,Q646466055,529,2,20250411,5171098282,SR289696,X,13.738,18.639,BATCH9891,VEND_BATCH861500,,V798,2,32.377,20250514,20250512,20250514,221851,20250512,194347,20250511,024156,20250514,191224,20250515,173826,7,X,20250514,100756,8185532097054175,34171.06,INR,16435.16,2256.74,C,002,2,2bc1192ec45c453e98af6f,20250514,X,20250411,032039,,5
300,4500000004,00020,0003,20260209,20260209,2,32.377,0,19.28,0,044716,PR99054721,00015,B,Q742781371,907,0,20251231,9422107680,SR507324,X,19.28,13.097,BATCH1459,VEND_BATCH330056,,V355,3,32.377,20260209,20260206,20260209,123540,20260207,151725,20260206,074405,20260209,112420,20260210,184038,3,,20260209,040324,3216110479124201,35548.69,INR,3060.53,1537.71,A,002,1,1579c16796a14bf4bcfb4f,20260209,,20251231,073234,X,5
100,4500000004,00030,0001,20250817,20250817,1,197.762,0,193.659,0,195545,PR06316614,00089,R,Q259837388,048,0,20250731,2150354368,SR705387,,193.659,4.103,BATCH2349,VEND_BATCH731245,X,V581,1,197.762,20250817,20250815,20250817,212533,20250815,141231,20250814,195412,20250817,123919,20250818,131439,9,X,20250817,192922,9151742670568828,6169.55,INR,14557.13,3900.58,B,002,2,fdc5f94010b3410e9e61d3,20250817,,20250731,204044,,3
300,4500000004,00030,0002,20251204,20251204,2,197.762,0,196.565,0,210146,PR07039424,00066,R,Q229640828,116,0,20251125,5257685703,SR310906,,196.565,1.197,BATCH5150,VEND_BATCH558462,X,V580,2,197.762,20251204,20251129,20251204,232210,20251202,112917,20251201,231517,20251204,001213,20251205,234133,8,X,20251204,230221,6511013822501400,14322.44,INR,5736.67,3203.03,A,003,1,6c28ed93474a44678b1fde,20251204,X,20251125,061323,,2
400,4500000004,00040,0001,20250607,20250607,2,133.686,0,132.457,0,055605,PR19567289,00082,F,Q667038377,133,1,20250511,6340563165,SR566850,X,132.457,1.229,BATCH1638,VEND_BATCH144717,,V630,1,133.686,20250607,20250605,20250607,072126,20250605,173813,20250604,162746,20250607,133902,20250608,131631,1,,20250607,175113,3851351508849906,31909.63,INR,14834.65,103.99,C,003,1,dfb0dc26b9c949b4b01d9e,20250607,,20250511,022846,,5
400,4500000004,00040,0002,20260114,20260114,1,133.686,0,87.166,0,205326,PR03256392,00022,F,Q926147218,090,0,20251228,8601032163,SR132238,X,87.166,46.52,BATCH3645,VEND_BATCH735591,,V497,3,133.686,20260114,20260110,20260114,013204,20260112,063227,20260111,233141,20260114,053607,20260115,180245,1,,20260114,225706,4629401510638846,10863.61,INR,18702.21,987.78,B,003,1,e2a69a797b604194879c32,20260114,X,20251228,214111,,1
100,4500000004,00040,0003,20250717,20250717,1,133.686,0,112.117,0,190448,PR41298558,00030,R,Q992549045,117,0,20250622,7097847858,SR248372,X,112.117,21.569,BATCH9922,VEND_BATCH680622,,V003,3,133.686,20250717,20250714,20250717,053831,20250715,143440,20250714,113302,20250717,095759,20250718,184339,0,X,20250717,015852,1116838585565068,31546.0,INR,12101.29,3555.42,A,001,2,eed18f8eb1d941c1a9f2f9,20250717,,20250622,165411,,1
200,4500000004,00050,0001,20250701,20250701,1,39.836,0,17.299,0,205623,PR37445356,00089,F,Q770315363,420,0,20250521,1172359699,SR181831,,17.299,22.537,BATCH4017,VEND_BATCH653187,X,V383,3,39.836,20250701,20250626,20250701,102435,20250629,190911,20250628,180407,20250701,122913,20250702,212444,8,X,20250701,001236,4469055103050130,44112.31,INR,9195.28,4731.56,A,002,1,582009ff238b491a94f806,20250701,X,20250521,083437,,2
100,4500000004,00050,0002,20260205,20260205,2,39.836,0,29.942,0,130528,PR17319757,00033,R,Q275635108,383,3,20260127,9083992315,SR798467,X,29.942,9.894,BATCH4944,VEND_BATCH552906,X,V524,2,39.836,20260205,20260203,20260205,153731,20260203,090457,20260202,181739,20260205,031002,20260206,045322,7,X,20260205,040053,4175613257042466,43083.71,INR,17492.82,830.22,B,001,2,ca71dff3e27844abb3cf6c,20260205,X,20260127,070748,X,2
400,4500000005,00010,0001,20260211,20260211,2,151.279,0,150.267,0,104807,PR41735327,00039,F,Q397940575,395,1,20251231,5717907569,SR320781,,150.267,1.012,BATCH2439,VEND_BATCH176288,,V960,1,151.279,20260211,20260208,20260211,182712,20260209,170017,20260208,063436,20260211,030449,20260212,205032,5,X,20260211,161440,9792448388197574,11583.74,INR,17572.65,1657.27,A,003,1,d28c096458da40bf9a3ca6,20260211,X,20251231,111551,,1
200,4500000005,00010,0002,20250402,20250402,1,151.279,0,148.4,0,152310,PR81398033,00011,R,Q671136240,138,1,20250308,1634293093,SR844818,X,148.4,2.879,BATCH0091,VEND_BATCH196445,X,V734,2,151.279,20250402,20250330,20250402,004406,20250331,233930,20250330,011025,20250402,023926,20250403,122401,9,X,20250402,231345,5182064600327291,23417.81,INR,11556.53,4181.4,B,001,2,65908c70ff0a44b9869e96,20250402,,20250308,130151,X,1
400,4500000005,00020,0001,20250414,20250414,1,305.199,0,300.119,0,061658,PR10311030,00071,R,Q508984698,390,1,20250310,1699111369,SR713643,,300.119,5.08,BATCH2739,VEND_BATCH879276,X,V232,3,305.199,20250414,20250411,20250414,113940,20250412,094408,20250411,145250,20250414,000146,20250415,135229,4,,20250414,015433,8700633453121807,21233.63,INR,12050.31,1284.81,B,002,1,7f9e85352b844859a47e34,20250414,,20250310,160834,,2
200,4500000005,00030,0001,20250416,20250416,2,219.019,0,106.283,0,181823,PR13415424,00074,B,Q047020257,459,1,20250316,5986599748,SR155060,,106.283,112.736,BATCH5600,VEND_BATCH165275,,V631,3,219.019,20250416,20250412,20250416,061134,20250414,000456,20250413,130311,20250416,192023,20250417,191855,10,X,20250416,131823,6209015728440499,18125.19,INR,11822.74,318.3,C,002,2,a0c9fef81c81435ca9fd7c,20250416,X,20250316,082544,X,4
400,4500000005,00030,0002,20260311,20260311,2,219.019,0,150.984,0,013707,PR03269154,00039,B,Q827400534,320,2,20260203,6911864460,SR331756,X,150.984,68.035,BATCH9902,VEND_BATCH676005,X,V688,1,219.019,20260311,20260307,20260311,061343,20260309,012928,20260308,211333,20260311,020644,20260312,233016,3,X,20260311,152950,2575509277496182,43692.8,INR,624.32,2963.8,C,002,1,5a27d061f1e5419da4f06b,20260311,X,20260203,041336,,2
400,4500000005,00040,0001,20250328,20250328,1,90.258,0,69.25,0,142531,PR05571209,00053,F,Q919346586,070,0,20250222,4462088630,SR921023,X,69.25,21.008,BATCH8750,VEND_BATCH069339,,V743,1,90.258,20250328,20250325,20250328,145647,20250326,052301,20250325,164910,20250328,235506,20250329,211820,6,,20250328,043832,2895987878758420,30656.69,INR,1915.03,3416.19,C,002,2,752f4119fa16432aab749b,20250328,,20250222,220057,X,1
200,4500000005,00050,0001,20250629,20250629,2,107.665,0,56.666,0,221603,PR73130998,00028,B,Q820891319,434,1,20250525,2549355281,SR963250,X,56.666,50.999,BATCH1606,VEND_BATCH792781,,V573,2,107.665,20250629,20250624,20250629,011523,20250627,083942,20250626,162555,20250629,092955,20250630,212923,0,X,20250629,195000,9748910003083059,4024.07,INR,2813.95,2532.29,C,002,1,562ec0a5e3414e63ac4501,20250629,,20250525,161924,X,2
200,4500000005,00050,0002,20250830,20250830,1,107.665,0,91.895,0,205533,PR62781613,00081,R,Q669092791,789,2,20250724,7276893229,SR340018,,91.895,15.77,BATCH2251,VEND_BATCH315937,,V716,3,107.665,20250830,20250827,20250830,043602,20250828,071618,20250827,083858,20250830,162512,20250831,175527,9,X,20250830,133112,3593915798677858,11892.98,INR,19752.14,3918.15,C,001,1,a0d43ee42f814f86aab9ae,20250830,,20250724,023242,X,4
400,4500000005,00050,0003,20251212,20251212,1,107.665,0,74.44,0,093514,PR03014547,00021,B,Q535965713,400,3,20251117,4372950627,SR733514,X,74.44,33.225,BATCH3361,VEND_BATCH212432,,V833,1,107.665,20251212,20251208,20251212,222626,20251210,211017,20251209,004122,20251212,151020,20251213,210421,5,,20251212,022057,4430713881079085,46452.62,INR,9070.28,2460.78,B,002,2,6cb51f8a199c4318a52c45,20251212,X,20251117,095545,X,4
